Welcome to eht-imaging! v 1.2.10 

(1024, 1024)
iteration:   0%|          | 0/20000 [00:00<?, ?it/s]
iteration 0, loss=5.605812073e-01
iteration 1000, loss=1.671080012e-03
iteration 2000, loss=1.648947364e-04
iteration 3000, loss=1.502963831e-03
iteration 4000, loss=2.518362307e-04
iteration 5000, loss=1.153687335e-04
iteration 6000, loss=3.122350026e-04
iteration 7000, loss=3.297580406e-06
iteration 8000, loss=4.745473270e-04
iteration 9000, loss=7.252783689e-06
iteration 10000, loss=6.084950874e-04
iteration 11000, loss=1.621840653e-07
iteration 12000, loss=1.246095781e-04
iteration 13000, loss=1.488587298e-08
iteration 14000, loss=2.462035263e-05
iteration 15000, loss=2.143013518e-07
iteration 16000, loss=1.616847254e-13
iteration 17000, loss=8.678754966e-06
iteration 18000, loss=1.111011370e-11
iteration 19000, loss=1.043632324e-06
[seed=61] saved params to fourier_ensembling/starfish_models/params_61.msgpack
