Welcome to eht-imaging! v 1.2.10 

(1024, 1024)
iteration:   0%|          | 0/20000 [00:00<?, ?it/s]
iteration 0, loss=9.579390287e-01
iteration 1000, loss=4.952205345e-03
iteration 2000, loss=2.114585805e-04
iteration 3000, loss=6.769557949e-04
iteration 4000, loss=1.034712326e-02
iteration 5000, loss=2.455265785e-04
iteration 6000, loss=1.460695057e-04
iteration 7000, loss=1.086159609e-03
iteration 8000, loss=3.820336715e-04
iteration 9000, loss=1.312751207e-03
iteration 10000, loss=2.637547550e-05
iteration 11000, loss=4.128813558e-08
iteration 12000, loss=1.542232530e-05
iteration 13000, loss=1.401864324e-06
iteration 14000, loss=7.632638699e-06
iteration 15000, loss=2.986770937e-07
iteration 16000, loss=1.791815157e-05
iteration 17000, loss=2.246614313e-03
iteration 18000, loss=2.661877545e-07
iteration 19000, loss=1.454120138e-06
[seed=24] saved params to fourier_ensembling/starfish_models/params_24.msgpack
