Welcome to eht-imaging! v 1.2.10 

(1024, 1024)
iteration:   0%|          | 0/20000 [00:00<?, ?it/s]
iteration 0, loss=6.432355046e-01
iteration 1000, loss=1.109635551e-02
iteration 2000, loss=7.356061833e-04
iteration 3000, loss=1.987907890e-04
iteration 4000, loss=1.398822642e-04
iteration 5000, loss=2.471168118e-04
iteration 6000, loss=8.427425055e-04
iteration 7000, loss=1.018696130e-04
iteration 8000, loss=3.488794391e-05
iteration 9000, loss=4.765135964e-05
iteration 10000, loss=4.481384240e-04
iteration 11000, loss=1.691389286e-07
iteration 12000, loss=4.103260949e-07
iteration 13000, loss=7.299978628e-14
iteration 14000, loss=1.172837543e-12
iteration 15000, loss=6.536645714e-08
iteration 16000, loss=1.280505160e-07
iteration 17000, loss=3.313686648e-06
iteration 18000, loss=6.857976405e-05
iteration 19000, loss=9.319934179e-06
[seed=94] saved params to fourier_ensembling/starfish_models/params_94.msgpack
