Welcome to eht-imaging! v 1.2.10 

(1024, 1024)
iteration:   0%|          | 0/20000 [00:00<?, ?it/s]
iteration 0, loss=7.257215381e-01
iteration 1000, loss=1.538734417e-03
iteration 2000, loss=2.778002527e-04
iteration 3000, loss=5.563213024e-03
iteration 4000, loss=1.776546123e-04
iteration 5000, loss=1.117087813e-04
iteration 6000, loss=7.861590711e-05
iteration 7000, loss=1.742924724e-05
iteration 8000, loss=4.239004920e-05
iteration 9000, loss=1.375847060e-04
iteration 10000, loss=3.996179439e-04
iteration 11000, loss=4.319261643e-05
iteration 12000, loss=1.189580871e-05
iteration 13000, loss=4.421502672e-05
iteration 14000, loss=1.140100267e-05
iteration 15000, loss=8.825553621e-09
iteration 16000, loss=2.565282209e-08
iteration 17000, loss=3.549938954e-10
iteration 18000, loss=8.888426964e-05
iteration 19000, loss=1.997829280e-08
[seed=8] saved params to fourier_ensembling/starfish_models/params_8.msgpack
