Welcome to eht-imaging! v 1.2.10 

(1024, 1024)
iteration:   0%|          | 0/20000 [00:00<?, ?it/s]
iteration 0, loss=3.898762465e+00
iteration 1000, loss=2.839059103e-03
iteration 2000, loss=2.102551662e-04
iteration 3000, loss=2.293735015e-04
iteration 4000, loss=6.041241577e-04
iteration 5000, loss=1.418401516e-04
iteration 6000, loss=9.029079592e-06
iteration 7000, loss=1.079933369e-03
iteration 8000, loss=3.903608595e-04
iteration 9000, loss=5.543228326e-06
iteration 10000, loss=4.771622844e-05
iteration 11000, loss=8.509138570e-05
iteration 12000, loss=9.937570430e-04
iteration 13000, loss=5.424500559e-04
iteration 14000, loss=3.073543310e-03
iteration 15000, loss=1.700856810e-04
iteration 16000, loss=7.091254811e-04
iteration 17000, loss=4.687751343e-08
iteration 18000, loss=5.701561349e-06
iteration 19000, loss=3.327128943e-04
[seed=31] saved params to fourier_ensembling/starfish_models/params_31.msgpack
