Welcome to eht-imaging! v 1.2.10 

(1024, 1024)
iteration:   0%|          | 0/20000 [00:00<?, ?it/s]
iteration 0, loss=5.810660720e-01
iteration 1000, loss=4.146016669e-03
iteration 2000, loss=2.954539086e-04
iteration 3000, loss=2.447287552e-04
iteration 4000, loss=7.586651482e-04
iteration 5000, loss=3.864850805e-05
iteration 6000, loss=1.595722861e-04
iteration 7000, loss=1.041242736e-03
iteration 8000, loss=1.775043984e-06
iteration 9000, loss=1.220468112e-04
iteration 10000, loss=3.265677173e-10
iteration 11000, loss=2.350615659e-06
iteration 12000, loss=2.160772006e-08
iteration 13000, loss=5.493946010e-12
iteration 14000, loss=2.979685654e-08
iteration 15000, loss=1.708323907e-05
iteration 16000, loss=3.728764113e-06
iteration 17000, loss=1.863548505e-06
iteration 18000, loss=2.616302518e-04
iteration 19000, loss=8.053470810e-05
[seed=98] saved params to fourier_ensembling/starfish_models/params_98.msgpack
