Welcome to eht-imaging! v 1.2.10 

(1024, 1024)
iteration:   0%|          | 0/20000 [00:00<?, ?it/s]
iteration 0, loss=7.786812186e-01
iteration 1000, loss=2.506812336e-03
iteration 2000, loss=1.504442305e-03
iteration 3000, loss=5.759473788e-05
iteration 4000, loss=2.388267079e-03
iteration 5000, loss=2.202662174e-03
iteration 6000, loss=4.907997209e-04
iteration 7000, loss=8.623745998e-06
iteration 8000, loss=2.953608928e-04
iteration 9000, loss=2.912301397e-06
iteration 10000, loss=2.728271102e-05
iteration 11000, loss=2.789437131e-04
iteration 12000, loss=2.074190153e-09
iteration 13000, loss=6.101471809e-05
iteration 14000, loss=1.819666373e-08
iteration 15000, loss=4.593073426e-13
iteration 16000, loss=1.539709444e-07
iteration 17000, loss=1.917860537e-08
iteration 18000, loss=3.220833662e-07
iteration 19000, loss=3.821513939e-10
[seed=80] saved params to fourier_ensembling/starfish_models/params_80.msgpack
