Welcome to eht-imaging! v 1.2.10 

(1024, 1024)
iteration:   0%|          | 0/20000 [00:00<?, ?it/s]
iteration 0, loss=1.121784329e+00
iteration 1000, loss=2.663600259e-03
iteration 2000, loss=1.870177803e-03
iteration 3000, loss=1.477456826e-04
iteration 4000, loss=8.497257950e-04
iteration 5000, loss=1.989865123e-04
iteration 6000, loss=7.230239135e-05
iteration 7000, loss=1.046546502e-03
iteration 8000, loss=2.885209324e-05
iteration 9000, loss=1.319748000e-03
iteration 10000, loss=6.083339343e-08
iteration 11000, loss=4.562419633e-07
iteration 12000, loss=1.167161645e-05
iteration 13000, loss=2.306168462e-04
iteration 14000, loss=8.511952956e-07
iteration 15000, loss=1.700648086e-13
iteration 16000, loss=5.459942868e-14
iteration 17000, loss=9.213323904e-15
iteration 18000, loss=1.466774165e-06
iteration 19000, loss=4.497201189e-07
[seed=37] saved params to fourier_ensembling/starfish_models/params_37.msgpack
