Welcome to eht-imaging! v 1.2.10 

(1024, 1024)
iteration:   0%|          | 0/20000 [00:00<?, ?it/s]
iteration 0, loss=8.670307398e-01
iteration 1000, loss=2.524644602e-03
iteration 2000, loss=2.600590931e-03
iteration 3000, loss=4.341727123e-03
iteration 4000, loss=8.473069756e-04
iteration 5000, loss=1.365122967e-03
iteration 6000, loss=4.640145635e-04
iteration 7000, loss=1.126223506e-04
iteration 8000, loss=5.289242108e-05
iteration 9000, loss=4.036776033e-07
iteration 10000, loss=5.793536275e-06
iteration 11000, loss=6.512042546e-06
iteration 12000, loss=3.823656243e-06
iteration 13000, loss=8.456081559e-05
iteration 14000, loss=4.210991278e-10
iteration 15000, loss=2.947808753e-08
iteration 16000, loss=6.216177439e-07
iteration 17000, loss=2.227602294e-03
iteration 18000, loss=7.166125739e-15
iteration 19000, loss=4.116472141e-08
[seed=72] saved params to fourier_ensembling/starfish_models/params_72.msgpack
