Welcome to eht-imaging! v 1.2.10 

(1024, 1024)
iteration:   0%|          | 0/20000 [00:00<?, ?it/s]
iteration 0, loss=1.644090176e+00
iteration 1000, loss=5.243128631e-03
iteration 2000, loss=2.050769544e-04
iteration 3000, loss=5.142736336e-05
iteration 4000, loss=3.260258120e-03
iteration 5000, loss=3.348626487e-04
iteration 6000, loss=7.952832675e-05
iteration 7000, loss=8.317340871e-06
iteration 8000, loss=1.261684665e-04
iteration 9000, loss=5.954131484e-04
iteration 10000, loss=2.298030449e-05
iteration 11000, loss=3.739364445e-07
iteration 12000, loss=1.041145333e-05
iteration 13000, loss=3.821383871e-05
iteration 14000, loss=7.596573681e-08
iteration 15000, loss=1.830856888e-08
iteration 16000, loss=1.511089340e-05
iteration 17000, loss=1.528319117e-04
iteration 18000, loss=1.298030256e-03
iteration 19000, loss=9.260709468e-15
[seed=96] saved params to fourier_ensembling/starfish_models/params_96.msgpack
