Welcome to eht-imaging! v 1.2.10 

(1024, 1024)
iteration:   0%|          | 0/20000 [00:00<?, ?it/s]
iteration 0, loss=8.433626890e-01
iteration 1000, loss=1.211894769e-02
iteration 2000, loss=5.345374229e-04
iteration 3000, loss=1.358676382e-04
iteration 4000, loss=3.358521208e-04
iteration 5000, loss=5.101748975e-04
iteration 6000, loss=1.012359353e-04
iteration 7000, loss=1.208454254e-03
iteration 8000, loss=4.579172528e-04
iteration 9000, loss=2.718166616e-05
iteration 10000, loss=1.648910620e-05
iteration 11000, loss=5.136535619e-04
iteration 12000, loss=7.402847405e-04
iteration 13000, loss=9.889145986e-06
iteration 14000, loss=2.265861245e-13
iteration 15000, loss=1.142410412e-13
iteration 16000, loss=3.194709775e-11
iteration 17000, loss=1.116867876e-03
iteration 18000, loss=2.153549576e-04
iteration 19000, loss=1.691893090e-06
[seed=45] saved params to fourier_ensembling/starfish_models/params_45.msgpack
