Welcome to eht-imaging! v 1.2.10 

(1024, 1024)
iteration:   0%|          | 0/20000 [00:00<?, ?it/s]
iteration 0, loss=9.586591721e-01
iteration 1000, loss=2.968829591e-03
iteration 2000, loss=1.643933792e-04
iteration 3000, loss=3.347635502e-03
iteration 4000, loss=6.315109786e-04
iteration 5000, loss=1.824000938e-04
iteration 6000, loss=3.474815167e-04
iteration 7000, loss=1.049702041e-04
iteration 8000, loss=8.408244321e-05
iteration 9000, loss=8.338379303e-06
iteration 10000, loss=5.333545050e-05
iteration 11000, loss=7.227552601e-07
iteration 12000, loss=1.569531491e-06
iteration 13000, loss=9.621023200e-04
iteration 14000, loss=1.876751386e-13
iteration 15000, loss=8.286131248e-08
iteration 16000, loss=1.511692517e-05
iteration 17000, loss=5.793249784e-06
iteration 18000, loss=3.220026338e-05
iteration 19000, loss=2.764141982e-07
[seed=62] saved params to fourier_ensembling/starfish_models/params_62.msgpack
