Welcome to eht-imaging! v 1.2.10 

(1024, 1024)
iteration:   0%|          | 0/20000 [00:00<?, ?it/s]
iteration 0, loss=8.072944880e-01
iteration 1000, loss=6.841623690e-03
iteration 2000, loss=9.666799451e-04
iteration 3000, loss=3.631490108e-05
iteration 4000, loss=2.344208187e-04
iteration 5000, loss=1.633236243e-04
iteration 6000, loss=1.851360867e-04
iteration 7000, loss=4.679480116e-05
iteration 8000, loss=1.854944712e-04
iteration 9000, loss=1.259524579e-04
iteration 10000, loss=1.204563960e-04
iteration 11000, loss=2.822836898e-08
iteration 12000, loss=1.723732021e-05
iteration 13000, loss=2.819995452e-11
iteration 14000, loss=2.029130641e-08
iteration 15000, loss=1.821752749e-09
iteration 16000, loss=2.166457769e-08
iteration 17000, loss=8.050828910e-06
iteration 18000, loss=4.039266059e-05
iteration 19000, loss=1.395290383e-06
[seed=84] saved params to fourier_ensembling/starfish_models/params_84.msgpack
