Welcome to eht-imaging! v 1.2.10 

(1024, 1024)
iteration:   0%|          | 0/20000 [00:00<?, ?it/s]
iteration 0, loss=8.556212783e-01
iteration 1000, loss=2.459589159e-03
iteration 2000, loss=3.350151237e-04
iteration 3000, loss=1.586899045e-03
iteration 4000, loss=6.017459673e-04
iteration 5000, loss=2.613181714e-04
iteration 6000, loss=7.263630396e-04
iteration 7000, loss=1.511165756e-04
iteration 8000, loss=1.060600625e-04
iteration 9000, loss=1.858108881e-04
iteration 10000, loss=4.040761851e-04
iteration 11000, loss=3.599141564e-05
iteration 12000, loss=4.762432582e-08
iteration 13000, loss=3.877253912e-04
iteration 14000, loss=9.331572073e-06
iteration 15000, loss=1.159735257e-05
iteration 16000, loss=3.348208702e-05
iteration 17000, loss=7.627325963e-13
iteration 18000, loss=1.021655904e-14
iteration 19000, loss=6.714319170e-05
[seed=46] saved params to fourier_ensembling/starfish_models/params_46.msgpack
