Welcome to eht-imaging! v 1.2.10 

(1024, 1024)
iteration:   0%|          | 0/20000 [00:00<?, ?it/s]
iteration 0, loss=2.445918560e+00
iteration 1000, loss=1.592268469e-03
iteration 2000, loss=1.928263082e-04
iteration 3000, loss=5.939540642e-05
iteration 4000, loss=1.145362112e-04
iteration 5000, loss=1.295155671e-04
iteration 6000, loss=7.627313607e-05
iteration 7000, loss=2.916965786e-05
iteration 8000, loss=2.818854991e-04
iteration 9000, loss=3.234870292e-06
iteration 10000, loss=7.228736195e-06
iteration 11000, loss=3.622312761e-06
iteration 12000, loss=3.809016644e-11
iteration 13000, loss=6.105548891e-06
iteration 14000, loss=1.247713080e-04
iteration 15000, loss=1.815971359e-06
iteration 16000, loss=1.255490787e-07
iteration 17000, loss=1.314701059e-08
iteration 18000, loss=1.619940886e-04
iteration 19000, loss=1.795501817e-06
[seed=39] saved params to fourier_ensembling/starfish_models/params_39.msgpack
