Welcome to eht-imaging! v 1.2.10 

(1024, 1024)
iteration:   0%|          | 0/20000 [00:00<?, ?it/s]
iteration 0, loss=9.226691127e-01
iteration 1000, loss=1.023454592e-02
iteration 2000, loss=1.429164317e-03
iteration 3000, loss=1.014297086e-04
iteration 4000, loss=1.828910317e-04
iteration 5000, loss=4.677661636e-04
iteration 6000, loss=6.944289780e-04
iteration 7000, loss=2.448371379e-05
iteration 8000, loss=1.600329124e-04
iteration 9000, loss=1.322912984e-03
iteration 10000, loss=4.209745384e-06
iteration 11000, loss=1.260962446e-08
iteration 12000, loss=2.890075734e-07
iteration 13000, loss=4.553609472e-07
iteration 14000, loss=1.235254058e-05
iteration 15000, loss=5.593617930e-11
iteration 16000, loss=3.865241904e-09
iteration 17000, loss=9.915787809e-14
iteration 18000, loss=6.828202004e-07
iteration 19000, loss=1.897803600e-06
[seed=74] saved params to fourier_ensembling/starfish_models/params_74.msgpack
