Welcome to eht-imaging! v 1.2.10 

(1024, 1024)
iteration:   0%|          | 0/20000 [00:00<?, ?it/s]
iteration 0, loss=1.786568165e+00
iteration 1000, loss=3.052155720e-03
iteration 2000, loss=2.967736509e-04
iteration 3000, loss=1.810869580e-04
iteration 4000, loss=1.863624057e-04
iteration 5000, loss=7.873350842e-05
iteration 6000, loss=1.360278344e-03
iteration 7000, loss=1.590251049e-04
iteration 8000, loss=9.359075921e-05
iteration 9000, loss=1.771208190e-04
iteration 10000, loss=2.518900437e-04
iteration 11000, loss=3.538025194e-04
iteration 12000, loss=2.804980322e-04
iteration 13000, loss=4.093456880e-07
iteration 14000, loss=4.456968327e-06
iteration 15000, loss=1.951834201e-05
iteration 16000, loss=3.402161894e-07
iteration 17000, loss=1.632560087e-09
iteration 18000, loss=2.639866434e-04
iteration 19000, loss=5.526203884e-14
[seed=23] saved params to fourier_ensembling/starfish_models/params_23.msgpack
