Welcome to eht-imaging! v 1.2.10 

(1024, 1024)
iteration:   0%|          | 0/20000 [00:00<?, ?it/s]
iteration 0, loss=5.518036485e-01
iteration 1000, loss=1.441625413e-03
iteration 2000, loss=1.239221194e-03
iteration 3000, loss=1.257110125e-04
iteration 4000, loss=1.921807707e-04
iteration 5000, loss=2.586115734e-04
iteration 6000, loss=1.954989566e-04
iteration 7000, loss=4.447390966e-04
iteration 8000, loss=1.334569902e-06
iteration 9000, loss=3.285932689e-05
iteration 10000, loss=6.674290635e-04
iteration 11000, loss=1.214940276e-04
iteration 12000, loss=1.359997532e-05
iteration 13000, loss=2.617449714e-13
iteration 14000, loss=2.845080438e-08
iteration 15000, loss=8.904964101e-15
iteration 16000, loss=8.903800335e-06
iteration 17000, loss=3.243480506e-08
iteration 18000, loss=2.797343586e-05
iteration 19000, loss=6.467076219e-06
[seed=44] saved params to fourier_ensembling/starfish_models/params_44.msgpack
