Welcome to eht-imaging! v 1.2.10 

(1024, 1024)
iteration:   0%|          | 0/20000 [00:00<?, ?it/s]
iteration 0, loss=1.016719699e+00
iteration 1000, loss=4.342946690e-03
iteration 2000, loss=1.134355552e-02
iteration 3000, loss=3.781622509e-03
iteration 4000, loss=4.292001016e-03
iteration 5000, loss=1.986177231e-04
iteration 6000, loss=1.441795757e-04
iteration 7000, loss=3.556399315e-04
iteration 8000, loss=5.798756611e-04
iteration 9000, loss=3.706818006e-06
iteration 10000, loss=2.682659579e-05
iteration 11000, loss=3.515247372e-04
iteration 12000, loss=5.577056436e-05
iteration 13000, loss=9.375775107e-07
iteration 14000, loss=1.344230841e-03
iteration 15000, loss=2.382910536e-09
iteration 16000, loss=3.919179144e-04
iteration 17000, loss=1.662749797e-03
iteration 18000, loss=5.121176261e-10
iteration 19000, loss=6.515638233e-06
[seed=26] saved params to fourier_ensembling/starfish_models/params_26.msgpack
