Welcome to eht-imaging! v 1.2.10 

(1024, 1024)
iteration:   0%|          | 0/20000 [00:00<?, ?it/s]
iteration 0, loss=1.865124702e+00
iteration 1000, loss=2.209609840e-03
iteration 2000, loss=2.044190420e-03
iteration 3000, loss=1.365283970e-04
iteration 4000, loss=4.962512176e-04
iteration 5000, loss=1.758628641e-04
iteration 6000, loss=3.185470123e-04
iteration 7000, loss=1.365268254e-04
iteration 8000, loss=1.053326341e-04
iteration 9000, loss=6.279739318e-05
iteration 10000, loss=9.177627476e-07
iteration 11000, loss=7.348454005e-07
iteration 12000, loss=4.201861884e-06
iteration 13000, loss=1.635454794e-08
iteration 14000, loss=5.275840522e-05
iteration 15000, loss=5.015911884e-04
iteration 16000, loss=2.826595562e-07
iteration 17000, loss=1.181329708e-06
iteration 18000, loss=2.126590317e-07
iteration 19000, loss=2.059751258e-09
[seed=34] saved params to fourier_ensembling/starfish_models/params_34.msgpack
