Welcome to eht-imaging! v 1.2.10 

(1024, 1024)
iteration:   0%|          | 0/20000 [00:00<?, ?it/s]
iteration 0, loss=7.306473851e-01
iteration 1000, loss=3.443839494e-03
iteration 2000, loss=1.384287316e-04
iteration 3000, loss=2.379920625e-04
iteration 4000, loss=4.252348735e-04
iteration 5000, loss=4.023318179e-04
iteration 6000, loss=6.443468737e-05
iteration 7000, loss=1.672766288e-03
iteration 8000, loss=9.630556451e-05
iteration 9000, loss=3.491841198e-04
iteration 10000, loss=2.031744771e-06
iteration 11000, loss=2.500018468e-07
iteration 12000, loss=2.962253802e-06
iteration 13000, loss=3.717490996e-13
iteration 14000, loss=1.040862058e-03
iteration 15000, loss=1.009602215e-06
iteration 16000, loss=1.969399036e-13
iteration 17000, loss=8.837319911e-06
iteration 18000, loss=8.029870646e-15
iteration 19000, loss=1.094451374e-08
[seed=51] saved params to fourier_ensembling/starfish_models/params_51.msgpack
