Welcome to eht-imaging! v 1.2.10 

(1024, 1024)
iteration:   0%|          | 0/20000 [00:00<?, ?it/s]
iteration 0, loss=2.114301205e+00
iteration 1000, loss=6.891870871e-03
iteration 2000, loss=2.950248774e-03
iteration 3000, loss=3.681259113e-04
iteration 4000, loss=3.215146484e-03
iteration 5000, loss=1.837475575e-03
iteration 6000, loss=2.197409340e-04
iteration 7000, loss=5.036234506e-04
iteration 8000, loss=5.588037675e-05
iteration 9000, loss=1.288841531e-07
iteration 10000, loss=9.084021440e-04
iteration 11000, loss=3.514976997e-04
iteration 12000, loss=2.740956552e-04
iteration 13000, loss=1.022764718e-05
iteration 14000, loss=9.138325549e-05
iteration 15000, loss=7.615092909e-05
iteration 16000, loss=1.043503516e-06
iteration 17000, loss=1.794524884e-08
iteration 18000, loss=1.572443076e-13
iteration 19000, loss=2.173607754e-06
[seed=77] saved params to fourier_ensembling/starfish_models/params_77.msgpack
