Welcome to eht-imaging! v 1.2.10 

(1024, 1024)
iteration:   0%|          | 0/20000 [00:00<?, ?it/s]
iteration 0, loss=1.927218080e+00
iteration 1000, loss=7.991984487e-03
iteration 2000, loss=2.186730970e-03
iteration 3000, loss=1.231200731e-04
iteration 4000, loss=6.457461510e-03
iteration 5000, loss=5.840835365e-05
iteration 6000, loss=7.211630873e-05
iteration 7000, loss=1.451335498e-03
iteration 8000, loss=2.087735447e-05
iteration 9000, loss=9.922993922e-05
iteration 10000, loss=1.138882340e-06
iteration 11000, loss=5.592157777e-06
iteration 12000, loss=6.463604052e-08
iteration 13000, loss=2.354584756e-11
iteration 14000, loss=1.193495303e-10
iteration 15000, loss=7.417135930e-05
iteration 16000, loss=3.277722863e-04
iteration 17000, loss=4.198016934e-12
iteration 18000, loss=5.943801966e-07
iteration 19000, loss=3.190931948e-13
[seed=9] saved params to fourier_ensembling/starfish_models/params_9.msgpack
