Welcome to eht-imaging! v 1.2.10 

(1024, 1024)
iteration:   0%|          | 0/20000 [00:00<?, ?it/s]
iteration 0, loss=2.130237341e+00
iteration 1000, loss=2.940619737e-02
iteration 2000, loss=8.410580631e-05
iteration 3000, loss=5.260351827e-05
iteration 4000, loss=3.475065110e-03
iteration 5000, loss=1.514221221e-04
iteration 6000, loss=1.418615375e-05
iteration 7000, loss=3.058633865e-06
iteration 8000, loss=1.175962389e-04
iteration 9000, loss=1.492254436e-03
iteration 10000, loss=3.249201109e-04
iteration 11000, loss=2.582180869e-08
iteration 12000, loss=2.979244300e-06
iteration 13000, loss=5.899617918e-06
iteration 14000, loss=1.058854115e-09
iteration 15000, loss=3.741060937e-06
iteration 16000, loss=9.256206249e-05
iteration 17000, loss=9.545274224e-07
iteration 18000, loss=1.874972071e-07
iteration 19000, loss=2.538160654e-03
[seed=2] saved params to fourier_ensembling/starfish_models/params_2.msgpack
