Welcome to eht-imaging! v 1.2.10 

(1024, 1024)
iteration:   0%|          | 0/20000 [00:00<?, ?it/s]
iteration 0, loss=6.585358381e-01
iteration 1000, loss=2.138087293e-03
iteration 2000, loss=2.825509873e-04
iteration 3000, loss=7.200422260e-05
iteration 4000, loss=1.360835886e-04
iteration 5000, loss=2.053535427e-04
iteration 6000, loss=1.064069569e-03
iteration 7000, loss=3.212537558e-05
iteration 8000, loss=1.648082980e-04
iteration 9000, loss=1.678506844e-03
iteration 10000, loss=8.031326160e-10
iteration 11000, loss=2.294194417e-07
iteration 12000, loss=5.869627330e-06
iteration 13000, loss=1.826748530e-06
iteration 14000, loss=6.564103424e-15
iteration 15000, loss=3.525365695e-14
iteration 16000, loss=9.752950064e-06
iteration 17000, loss=8.787797560e-05
iteration 18000, loss=7.566151226e-07
iteration 19000, loss=9.054189832e-06
[seed=73] saved params to fourier_ensembling/starfish_models/params_73.msgpack
