Welcome to eht-imaging! v 1.2.10 

(1024, 1024)
iteration:   0%|          | 0/20000 [00:00<?, ?it/s]
iteration 0, loss=1.136649251e+00
iteration 1000, loss=2.532893792e-03
iteration 2000, loss=3.158017353e-04
iteration 3000, loss=1.597629598e-04
iteration 4000, loss=3.978329187e-04
iteration 5000, loss=4.922946100e-04
iteration 6000, loss=1.004470396e-03
iteration 7000, loss=6.064315094e-04
iteration 8000, loss=2.686509470e-05
iteration 9000, loss=2.992790940e-07
iteration 10000, loss=2.037593276e-06
iteration 11000, loss=1.471306459e-04
iteration 12000, loss=4.327430414e-09
iteration 13000, loss=1.107616868e-06
iteration 14000, loss=8.467662838e-08
iteration 15000, loss=1.055052780e-05
iteration 16000, loss=1.229407900e-07
iteration 17000, loss=2.048698766e-09
iteration 18000, loss=1.400137195e-13
iteration 19000, loss=1.225487607e-14
[seed=86] saved params to fourier_ensembling/starfish_models/params_86.msgpack
