Welcome to eht-imaging! v 1.2.10 

(1024, 1024)
iteration:   0%|          | 0/20000 [00:00<?, ?it/s]
iteration 0, loss=1.674692750e+00
iteration 1000, loss=2.622051863e-03
iteration 2000, loss=8.238219307e-04
iteration 3000, loss=9.893235983e-05
iteration 4000, loss=5.528895417e-04
iteration 5000, loss=1.623699674e-03
iteration 6000, loss=1.799927122e-04
iteration 7000, loss=6.419780402e-05
iteration 8000, loss=4.400942271e-05
iteration 9000, loss=2.879902922e-06
iteration 10000, loss=3.524809290e-05
iteration 11000, loss=3.585473962e-08
iteration 12000, loss=5.263629088e-09
iteration 13000, loss=3.177809660e-08
iteration 14000, loss=1.840476580e-05
iteration 15000, loss=2.669134801e-06
iteration 16000, loss=3.241752111e-08
iteration 17000, loss=2.559673158e-04
iteration 18000, loss=4.657858051e-03
iteration 19000, loss=2.049687282e-05
[seed=27] saved params to fourier_ensembling/starfish_models/params_27.msgpack
