Welcome to eht-imaging! v 1.2.10 

(1024, 1024)
iteration:   0%|          | 0/20000 [00:00<?, ?it/s]
iteration 0, loss=2.162941694e+00
iteration 1000, loss=1.315604709e-02
iteration 2000, loss=2.332351141e-04
iteration 3000, loss=7.611021283e-05
iteration 4000, loss=4.159164382e-04
iteration 5000, loss=1.266077452e-04
iteration 6000, loss=1.728699135e-04
iteration 7000, loss=3.335349902e-04
iteration 8000, loss=1.340595554e-05
iteration 9000, loss=1.657747489e-04
iteration 10000, loss=7.491226424e-04
iteration 11000, loss=1.064490220e-06
iteration 12000, loss=6.410416063e-06
iteration 13000, loss=1.731819211e-04
iteration 14000, loss=1.246465496e-13
iteration 15000, loss=1.150850090e-03
iteration 16000, loss=1.538119498e-08
iteration 17000, loss=3.999856744e-06
iteration 18000, loss=3.994198750e-09
iteration 19000, loss=2.174982541e-07
[seed=89] saved params to fourier_ensembling/starfish_models/params_89.msgpack
