Welcome to eht-imaging! v 1.2.10 

(1024, 1024)
iteration:   0%|          | 0/20000 [00:00<?, ?it/s]
iteration 0, loss=8.596004844e-01
iteration 1000, loss=2.184689743e-03
iteration 2000, loss=6.082819775e-03
iteration 3000, loss=3.159842527e-05
iteration 4000, loss=3.526399814e-05
iteration 5000, loss=8.125944078e-06
iteration 6000, loss=5.370890722e-04
iteration 7000, loss=1.723542373e-04
iteration 8000, loss=2.899166138e-04
iteration 9000, loss=2.480283001e-06
iteration 10000, loss=2.496271336e-04
iteration 11000, loss=2.955443961e-07
iteration 12000, loss=1.748789487e-07
iteration 13000, loss=4.145009225e-09
iteration 14000, loss=2.885017225e-10
iteration 15000, loss=5.932525382e-04
iteration 16000, loss=9.604570223e-04
iteration 17000, loss=6.871711378e-08
iteration 18000, loss=7.344209507e-08
iteration 19000, loss=1.230435025e-13
[seed=55] saved params to fourier_ensembling/starfish_models/params_55.msgpack
