Welcome to eht-imaging! v 1.2.10 

(1024, 1024)
iteration:   0%|          | 0/20000 [00:00<?, ?it/s]
iteration 0, loss=5.201856494e-01
iteration 1000, loss=2.032053424e-03
iteration 2000, loss=1.015510279e-04
iteration 3000, loss=1.109705772e-02
iteration 4000, loss=1.892790351e-05
iteration 5000, loss=9.937560390e-05
iteration 6000, loss=2.874626662e-04
iteration 7000, loss=2.070537732e-07
iteration 8000, loss=1.406693718e-05
iteration 9000, loss=2.065942368e-07
iteration 10000, loss=1.515733020e-04
iteration 11000, loss=8.667541684e-10
iteration 12000, loss=3.147145662e-06
iteration 13000, loss=5.197440395e-11
iteration 14000, loss=9.638632699e-15
iteration 15000, loss=5.560548743e-04
iteration 16000, loss=1.355311542e-05
iteration 17000, loss=2.376358680e-05
iteration 18000, loss=1.015022935e-04
iteration 19000, loss=1.744223846e-05
[seed=5] saved params to fourier_ensembling/starfish_models/params_5.msgpack
