Welcome to eht-imaging! v 1.2.10 

(1024, 1024)
iteration:   0%|          | 0/20000 [00:00<?, ?it/s]
iteration 0, loss=8.579112887e-01
iteration 1000, loss=2.309786621e-03
iteration 2000, loss=1.102662180e-03
iteration 3000, loss=3.076333553e-03
iteration 4000, loss=1.340273418e-03
iteration 5000, loss=1.017904026e-03
iteration 6000, loss=3.391008649e-04
iteration 7000, loss=8.166347397e-04
iteration 8000, loss=7.418110617e-04
iteration 9000, loss=9.332544869e-05
iteration 10000, loss=3.352397471e-04
iteration 11000, loss=2.231502094e-06
iteration 12000, loss=6.232488090e-07
iteration 13000, loss=8.374988880e-08
iteration 14000, loss=1.613365021e-05
iteration 15000, loss=8.869722665e-12
iteration 16000, loss=7.098043716e-05
iteration 17000, loss=8.411736863e-10
iteration 18000, loss=6.153211984e-08
iteration 19000, loss=1.610534275e-11
[seed=54] saved params to fourier_ensembling/starfish_models/params_54.msgpack
